,Part Number,Quote,Unit Cost Price,Unit Sell Price,CM,Date,Qty
0,TBE,2022921,263772.65,393690.52,0.33,2019-05-14,1.0
1,A70029-4,2022921,17614.58,47606.97,0.63,2019-05-14,1.0
2,331848,Q302417,205.0,590.0,0.65,2019-05-22,2.0
3,314905,Q302417,0.66,3.12,0.79,2019-05-22,4.0
4,315167,Q302417,110.85,266.04,0.58,2019-05-22,5.0
5,332238,Q302417,82.72,297.78,0.72,2019-05-22,3.0
6,305255,Q302417,354.0,743.4,0.52,2019-05-22,2.0
7,320800,Q302417,118.98,285.56,0.58,2019-05-22,2.0
8,381300,Q302417,855.0,1795.5,0.52,2019-05-22,1.0
9,343877,Q302417,49.38,177.78,0.72,2019-05-22,10.0
10,381344,Q302417,1953.64,4688.74,0.58,2019-05-22,3.0
11,381174,Q302417,522.0,1252.8,0.58,2019-05-22,2.0
12,377568,Q302417,522.0,1252.8,0.58,2019-05-22,3.0
13,324454,Q302417,213.4,679.45,0.69,2019-05-22,2.0
14,304624,Q302417,71.39,289.02,0.75,2019-05-22,4.0
15,380089,Q302417,555.0,1165.5,0.52,2019-05-22,2.0
16,195000-260,Q302443,1.11,4.68,0.76,2019-05-23,20.0
17,75555,Q302415,18.04,66.0,0.73,2019-05-30,24.0
18,A133738-1,Q302415,3344.0,6384.0,0.48,2019-05-30,6.0
19,A133730-1,Q302415,925.0,1942.5,0.52,2019-05-30,6.0
20,127029,Q302415,211.0,443.1,0.52,2019-05-30,6.0
21,A133734-1,Q302415,2310.0,4851.0,0.52,2019-05-30,6.0
22,A131031-1,Q302415,549.0,837.9,0.34,2019-05-30,2.0
23,H133533-1,Q302415,378.94,1322.02,0.71,2019-05-30,5.0
24,42834,Q302415,4.6,19.32,0.76,2019-05-30,24.0
25,A133760-1,Q302415,3364.0,6422.18,0.48,2019-05-30,2.0
26,A133748-1,Q302415,428.0,1373.0,0.69,2019-05-30,6.0
27,127014,Q302415,116.0,260.0,0.55,2019-05-30,3.0
28,H133533-10,Q302415,706.73,1696.16,0.58,2019-05-30,5.0
29,A133756-1,Q302415,1642.0,3448.2,0.52,2019-05-30,6.0
30,A133740-1,Q302415,482.0,1012.2,0.52,2019-05-30,3.0
31,369627,2032438,4122.9,15420.0,0.73,2019-06-11,1.0
32,397970,2032438,138294.65,206409.93,0.33,2019-06-11,1.0
33,A302778-1,2032438,24382.77,35857.01,0.32,2019-06-11,1.0
34,A70739-1,2032438,21612.9,66824.23,0.68,2019-06-11,2.0
35,A299655-1,2032438,7268.38,14536.76,0.5,2019-06-11,2.0
36,A188398-1,2032438,19380.56,38413.79,0.5,2019-06-11,2.0
37,A39409G,2032438,7741.72,15483.45,0.5,2019-06-11,1.0
38,A131043-1,2032438,14196.97,25812.68,0.45,2019-06-11,3.0
39,A130978-2,2032438,9897.5,22304.2,0.56,2019-06-11,2.0
40,A292404-1,2032438,260178.19,388325.65,0.33,2019-06-11,2.0
41,398003,2032438,10991.7,17707.9,0.38,2019-06-11,1.0
42,113086G,2057325,28.14,84.42,0.67,2019-06-18,2.0
43,A300168-5,Q302463,214.2,528.0,0.59,2019-06-21,14.0
44,D70789-2,Q302465,583.8,1167.8,0.5,2019-06-28,24.0
45,A131004-1,2032438/1,27753.13,55506.26,0.5,2019-07-02,2.0
46,A70029-4,2066152,19541.45,47606.97,0.59,2019-07-09,2.0
47,A70029-4,2066152,43287.96,53071.65,0.18,2019-07-09,2.0
48,A150973-454,Q302478,14.96,44.88,0.67,2019-07-12,20.0
49,190939-454,Q302478,11.09,92.04,0.88,2019-07-12,16.0
50,A300168-5,Q302480,214.2,528.0,0.59,2019-07-17,5.0
51,A131004-1,2032438/1,30989.67,59367.19,0.48,2019-07-17,2.0
52,A70323-1,2069155,5961.9,9936.5,0.4,2019-07-18,1.0
53,D70437-1,2069215,6629.82,13957.51,0.52,2019-07-18,1.0
54,R70815-1,2071366,1921.55,3843.1,0.5,2019-07-26,6.0
55,R301126-1,2071366,24.94,74.82,0.67,2019-07-26,24.0
56,132668,2071366,33.6,100.8,0.67,2019-07-26,36.0
57,A132670,2071366,83.4,177.45,0.53,2019-07-26,36.0
58,162260,2066158,15847.52,26412.53,0.4,2019-07-26,5.0
59,A70032-12,2066158,12423.38,25455.88,0.51,2019-07-26,2.0
60,A70032-15,2066158,31061.42,62222.83,0.5,2019-07-26,4.0
61,A134165-1 REF,Q302457,835.8,1671.6,0.5,2019-07-29,24.0
62,A70032-12,2066158/1,12423.38,25455.88,0.51,2019-08-01,2.0
63,A70032-15,2066158/1,31061.42,62222.83,0.5,2019-08-01,4.0
64,H300461-1,Q302144/3,16.95,30.44,0.44,2019-08-01,30.0
65,D70789-2,Q302457/1,583.8,1167.6,0.5,2019-08-02,2.0
66,195000-274,Q302491,3.18,12.72,0.75,2019-08-07,10.0
67,S001-358,Q302491,3.0,12.0,0.75,2019-08-07,5.0
68,83-400-002-82H,Q302491,27.87,83.61,0.67,2019-08-07,5.0
69,347073,Q302481,193.2,386.4,0.5,2019-08-13,2.0
70,364959,Q302481,584.85,1169.7,0.5,2019-08-13,2.0
71,364958,Q302481,654.15,1308.3,0.5,2019-08-13,2.0
72,195000-213,Q302487,0.14,0.56,0.75,2019-08-13,20.0
73,132668,Q302487,33.6,100.8,0.67,2019-08-13,36.0
74,A132670,Q302487,83.4,177.45,0.53,2019-08-13,20.0
75,A303778-1,Q302135/1,1118.25,3498.0,0.68,2019-08-14,3.0
76,A314983-1,2053215,5704.35,10762.93,0.47,2019-08-15,5.0
77,A311102-1,2053215,10803.5,20775.96,0.48,2019-08-15,5.0
78,A315297-1,2053215,23638.82,44601.54,0.47,2019-08-15,5.0
79,A314979-1,2053215,6841.57,12908.62,0.47,2019-08-15,5.0
80,A314982-1,2053215,9233.74,17422.16,0.47,2019-08-15,5.0
81,A315299-1,2053215,11245.42,21217.77,0.47,2019-08-15,5.0
82,A314972-1,2053215,20921.35,41022.25,0.49,2019-08-15,5.0
83,A314973-1,2053215,41372.54,79562.58,0.48,2019-08-15,5.0
84,161067,Q302489,3478.43,8748.12,0.6,2019-09-12,3.0
85,128167,2081737,1612.19,3405.47,0.53,2019-09-12,1.0
86,86021,302522,39.45,118.35,0.67,2019-10-02,5.0
87,381166,302522,334.01,668.01,0.5,2019-10-02,5.0
88,351468,302522,343.61,687.21,0.5,2019-10-02,3.0
89,321101,302522,441.34,882.68,0.5,2019-10-02,2.0
90,368306,302522,4079.12,7416.57,0.45,2019-10-02,6.0
91,364959,302522,584.85,1169.7,0.5,2019-10-02,2.0
92,364958,302522,854.7,1709.4,0.5,2019-10-02,2.0
93,344859,302522,203.57,407.14,0.5,2019-10-02,4.0
94,347073,302522,191.1,386.4,0.51,2019-10-02,2.0
95,40402-02,302522,96.21,288.63,0.67,2019-10-02,3.0
96,H130208-2,302523,2447.42,4894.85,0.5,2019-10-02,1.0
97,H130208-3,302523,2447.42,5438.72,0.55,2019-10-02,1.0
98,300509,302548,22.8,68.41,0.67,2019-10-03,5.0
99,S001-358,302548,4.39,12.0,0.63,2019-10-03,10.0
100,83-400-002-82H,302548,25.96,83.61,0.69,2019-10-03,10.0
101,303512,302548,6.0,24.0,0.75,2019-10-03,10.0
102,491056,2045746,2668.31,4123.63,0.35,2019-05-16,1.0
103,313115,2045746,996.17,1682.37,0.41,2019-05-16,4.0
104,313541,2045746,101.12,220.71,0.54,2019-05-16,14.0
105,351811,2045746,651.38,993.61,0.34,2019-05-16,10.0
106,313113,2063629,1972.95,2945.72,0.33,2019-06-27,1.0
107,490790,2063629,521.42,973.14,0.46,2019-06-27,12.0
108,C5929-05,2063629,5.2,15.53,0.67,2019-06-27,77.0
109,487582-2,2065156,1046.37,1644.95,0.36,2019-07-02,6.0
110,491051,2065156,1178.49,1960.47,0.4,2019-07-02,6.0
111,484677,2078141,65.27,229.86,0.72,2019-07-31,6.0
112,351811,2078141,525.0,999.58,0.47,2019-07-31,2.0
113,313112,Q302482,1029.25,1592.52,0.35,2019-08-01,1.0
114,484677,Q302482,66.32,229.86,0.71,2019-08-01,2.0
115,358436,Q302482,0.0,3068.0,1.0,2019-08-01,1.0
116,351811,Q302482,605.38,999.58,0.39,2019-08-01,1.0
117,400307,Q302482,0.0,1770.0,1.0,2019-08-01,1.0
118,313180,Q302482,296.7,459.07,0.35,2019-08-01,1.0
119,310041,Q302482,92.36,214.35,0.57,2019-08-01,1.0
120,314810,Q302482,15.25,35.45,0.57,2019-08-01,10.0
121,313660,Q302482,14.74,34.21,0.57,2019-08-01,1.0
122,309552,Q302482,0.54,1.67,0.68,2019-08-01,1.0
123,309541,Q302482,0.16,0.49,0.67,2019-08-01,1.0
124,S077-001,Q302482,2.77,18.94,0.85,2019-08-01,4.0
125,S076-001,Q302482,2.08,6.45,0.68,2019-08-01,2.0
126,302570,Q302482,1.12,3.95,0.72,2019-08-01,1.0
127,C5929-05,Q302482,1.12,15.53,0.93,2019-08-01,1.0
128,342299,Q302482,277.56,429.46,0.35,2019-08-01,1.0
129,309553,Q302482,1.0,3.09,0.68,2019-08-01,1.0
130,362977,Q302482,78.26,181.63,0.57,2019-08-01,1.0
131,487582-2,2083741,1378.81,2133.38,0.35,2019-08-15,6.0
132,491051,2083741,1212.17,2002.5,0.39,2019-08-15,6.0
133,494525,2094618,0.16,0.48,0.67,2019-09-17,532.0
134,487582-2,2094618,1372.83,2133.38,0.36,2019-09-17,12.0
135,490222,2094618,882.75,1340.69,0.34,2019-09-17,3.0
136,490223,2094618,40.66,93.75,0.57,2019-09-17,3.0
137,632574,2094618,0.45,1.37,0.67,2019-09-17,30.0
138,489579,2094618,857.6,1302.49,0.34,2019-09-17,3.0
139,489632,2094618,362.38,563.18,0.36,2019-09-17,3.0
140,491245,2094618,1498.0,2275.11,0.34,2019-09-17,3.0
141,491056,2094618,2541.25,3859.56,0.34,2019-09-17,2.0
142,313113,2094618,2010.53,3053.52,0.34,2019-09-17,1.0
143,A71670-2,Q302431/1,395.0,829.5,0.52,2019-05-16,4.0
144,H130957-6,Q302492,886.6,1773.2,0.5,2019-09-11,2.0
145,H130936-5,Q302492,5873.7,10679.45,0.45,2019-09-11,1.0
146,H300430-26,Q302492,180.65,361.3,0.5,2019-09-11,2.0
147,H133530-12,Q302492,252.91,505.81,0.5,2019-09-11,2.0
148,H130151-39,Q302492,711.9,1423.8,0.5,2019-09-11,1.0
149,H133531-4,Q302492,885.48,1770.97,0.5,2019-09-11,1.0
150,H90024-66,Q302579,487.41,974.82,0.5,2019-11-14,10.0
151,195000-27,Q302579,0.21,0.84,0.75,2019-11-14,10.0
152,H71697-1,1707048,5924.01,8462.87,0.3,2019-05-16,3.0
153,H71697-1,1707048,5916.13,8216.85,0.28,2019-05-16,5.0
154,D70419-5C41,1707048,30939.97,56254.49,0.45,2019-05-16,1.0
155,D70419-5C41,1707048,28557.86,51923.37,0.45,2019-05-16,3.0
156,H134011-9C41,1707048,21594.78,35991.31,0.4,2019-05-16,1.0
157,H134011-9C41,1707048,21594.78,34830.3,0.38,2019-05-16,5.0
158,D70416-6C41,1707048,12849.99,23363.61,0.45,2019-05-16,1.0
159,D70416-6C41,1707048,12849.99,22155.15,0.42,2019-05-16,3.0
160,A223023-1C41,1707048,223703.23,406733.15,0.45,2019-05-16,1.0
161,A223023-1C41,1707048,214174.06,389407.39,0.45,2019-05-16,3.0
162,H300431-8,2044210,45.95,80.51,0.43,2019-05-08,1.0
163,A130076-1,2044210,10.84,32.52,0.67,2019-05-08,1.0
164,D130168-1,2044210,15.21,45.63,0.67,2019-05-08,1.0
165,H71697-1,1707048,6082.22,8426.87,0.28,2019-07-16,3.0
166,H71697-1,1707048,6074.13,8216.85,0.26,2019-07-16,5.0
167,D70419-5C41,1707048,33354.58,56254.49,0.41,2019-07-16,1.0
168,D70419-5C41,1707048,30786.57,51923.37,0.41,2019-07-16,3.0
169,D70416-6C41,1707048,13852.82,23363.61,0.41,2019-07-16,1.0
170,D70416-6C41,1707048,13852.82,22155.15,0.37,2019-07-16,3.0
171,A71944-2,2078888,7560.0,15120.0,0.5,2019-09-12,1.0
172,H300664-4,Q302517,5.25,18.75,0.72,2019-09-24,10.0
173,H300431-8,Q302517,49.89,80.51,0.38,2019-09-24,3.0
174,D300003-4,Q302517,28.97,68.38,0.58,2019-09-24,10.0
175,D300003-2,Q302517,17.78,53.33,0.67,2019-09-24,10.0
176,A930289-1,Q302517,107.62,215.25,0.5,2019-09-24,4.0
177,A71190-3,Q302517,80.23,60.66,-0.32,2019-09-24,10.0
178,A70309-5,Q302517,19.69,105.87,0.81,2019-09-24,20.0
179,A70309-1,Q302517,16.2,155.5,0.9,2019-09-24,8.0
180,A301074-306,Q302517,269.06,538.12,0.5,2019-09-24,8.0
181,A300133-3,Q302517,110.6,188.58,0.41,2019-09-24,8.0
182,A300133-2,Q302517,49.97,149.9,0.67,2019-09-24,4.0
183,A300133-1,Q302517,70.9,99.25,0.29,2019-09-24,4.0
184,A300078-4,Q302517,10.22,23.16,0.56,2019-09-24,4.0
185,A300049-721,Q302517,50.16,150.48,0.67,2019-09-24,16.0
186,A300047-6,Q302517,9.98,39.92,0.75,2019-09-24,16.0
187,A20146-2,Q302517,1155.0,2310.0,0.5,2019-09-24,1.0
188,72094,Q302517,0.74,1.1,0.33,2019-09-24,225.0
189,201628-72,Q302517,262.69,525.38,0.5,2019-09-24,25.0
190,201552-13,Q302517,130.81,267.99,0.51,2019-09-24,10.0
191,201552-12,Q302517,148.59,383.78,0.61,2019-09-24,5.0
192,201323-375,Q302517,3.94,36.39,0.89,2019-09-24,5.0
193,201007-24,Q302517,25.47,76.41,0.67,2019-09-24,24.0
194,193413-313,Q302517,14.64,43.91,0.67,2019-09-24,8.0
195,193413-312,Q302517,3.28,13.12,0.75,2019-09-24,4.0
196,200752-3,Q302517,3.28,13.12,0.75,2019-09-24,10.0
197,H301272-13,Q302517,68.25,204.75,0.67,2019-09-24,9.0
198,199868-69,Q302517,0.52,2.08,0.75,2019-09-24,16.0
199,199537-46,Q302517,65.62,196.89,0.67,2019-09-24,2.0
200,198935-13,Q302517,4.22,16.88,0.75,2019-09-24,20.0
201,195356-31,Q302517,12.21,56.24,0.78,2019-09-24,6.0
202,195327-323,Q302517,13.17,39.51,0.67,2019-09-24,16.0
203,195327-308,Q302517,13.41,40.23,0.67,2019-09-24,8.0
204,195327-247,Q302517,2.0,8.0,0.75,2019-09-24,8.0
205,195094-41,Q302517,9.31,37.24,0.75,2019-09-24,12.0
206,195034-44,Q302517,6.18,24.72,0.75,2019-09-24,8.0
207,195031-49,Q302517,29.12,87.36,0.67,2019-09-24,6.0
208,195000-455,Q302517,12.27,12.13,-0.01,2019-09-24,20.0
209,195000-452,Q302517,14.3,42.9,0.67,2019-09-24,8.0
210,195000-449,Q302517,2.78,11.13,0.75,2019-09-24,5.0
211,195000-447,Q302517,3.81,15.24,0.75,2019-09-24,5.0
212,195000-437,Q302517,2.56,10.26,0.75,2019-09-24,4.0
213,195000-435,Q302517,1.56,12.13,0.87,2019-09-24,15.0
214,195000-378,Q302517,4.26,8.82,0.52,2019-09-24,5.0
215,195000-377,Q302517,3.46,5.51,0.37,2019-09-24,5.0
216,195000-376,Q302517,4.05,12.13,0.67,2019-09-24,5.0
217,195000-373,Q302517,2.52,10.09,0.75,2019-09-24,5.0
218,195000-372,Q302517,1.9,12.13,0.84,2019-09-24,5.0
219,195000-347,Q302517,1.05,4.21,0.75,2019-09-24,4.0
220,195000-326,Q302517,0.24,0.96,0.75,2019-09-24,12.0
221,195000-213,Q302517,0.11,0.43,0.74,2019-09-24,6.0
222,195000-161,Q302517,1.85,2.21,0.16,2019-09-24,5.0
223,195000-133,Q302517,0.16,0.64,0.75,2019-09-24,6.0
224,193474-279,Q302517,15.19,34.19,0.56,2019-09-24,5.0
225,191572-51,Q302517,47.75,198.51,0.76,2019-09-24,10.0
226,191572-50,Q302517,110.58,195.2,0.43,2019-09-24,10.0
227,190387-80,Q302517,10.04,30.12,0.67,2019-09-24,16.0
228,190387-62,Q302517,30.34,91.03,0.67,2019-09-24,8.0
229,6501023400,Q302517,7.82,31.28,0.75,2019-09-24,6.0
230,724304,Q302517,4.63,18.52,0.75,2019-09-24,10.0
231,171601,Q302517,82.69,248.06,0.67,2019-09-24,6.0
232,153062,Q302517,92.34,277.02,0.67,2019-09-24,6.0
233,153061,Q302517,44.1,132.3,0.67,2019-09-24,6.0
234,90502,Q302517,20.46,61.35,0.67,2019-09-24,2.0
235,34635,Q302517,107.62,215.25,0.5,2019-09-24,3.0
236,H130894-2,Q302568,38.73,87.01,0.55,2019-11-04,8.0
237,"H90290-48
",Q302565,1791.0,4713.95,0.62,2019-11-11,20.0
238,"H139000-133

",Q302565,497.41,994.82,0.5,2019-11-11,1.0
239,H90024-61,Q302565,225.75,451.5,0.5,2019-11-11,5.0
240,H302202-5,Q302565,39.48,146.9,0.73,2019-11-11,1.0
241,A301115-69,Q302565,7.01,75.24,0.91,2019-11-11,16.0
242,195143-26,Q302565,3.12,12.0,0.74,2019-11-11,1.0
243,H300667-8,Q302565,11.59,77.27,0.85,2019-11-11,1.0
244,191055-17,Q302565,0.13,2.8,0.95,2019-11-11,4.0
245,A130076-1,Q302565,6.18,32.49,0.81,2019-11-11,1.0
246,H300284-2,Q302565,4.49,18.0,0.75,2019-11-11,3.0
247,H71132-1,Q302565,659.4,1256.0,0.48,2019-11-11,1.0
248,193474-216,Q302565,0.7,2.68,0.74,2019-11-11,1.0
249,A301116-3,Q302565,18.53,55.59,0.67,2019-11-11,8.0
250,A949764-1,Q302565,255.49,779.6,0.67,2019-11-11,1.0
251,A71026-7,Q302565,0.0,0.0,,2019-11-11,1.0
252,89107,Q302565,33.19,132.3,0.75,2019-11-11,1.0
253,A949074-1,Q302565,3953.25,7187.73,0.45,2019-11-11,1.0
254,89006,Q302565,72.0,156.45,0.54,2019-11-11,1.0
255,A949741-1,Q302565,836.96,1673.91,0.5,2019-11-11,1.0
256,A949746-1,Q302565,465.3,770.0,0.4,2019-11-11,1.0
257,139738,Q302565,20.55,64.74,0.68,2019-11-11,2.0
258,A930220-1,Q302573,149.1,429.0,0.65,2019-11-22,4.0
259,D130171-3-SRP,2103241,76109.17,152218.35,0.5,2019-11-26,3.0
260,H130151-39 ,2103241,711.9,,,2019-11-26,1.0
261,H130957-6 ,2103241,851.72,,,2019-11-26,2.0
262,H133602-9 ,2103241,2812.95,,,2019-11-26,1.0
263,H133625-5 ,2103241,3058.4,,,2019-11-26,2.0
264,H134205-3C41 ,2103241,1657.95,,,2019-11-26,1.0
265,H134385-4 ,2103241,509.24,,,2019-11-26,1.0
266,R75500-7 ,2103241,921.9,,,2019-11-26,1.0
267,H139000-129 ,2103241,556.5,,,2019-11-26,2.0
268,A256975-1C41,2103241,1758.75,,,2019-11-26,1.0
269,H133400-13,2103241,2656.88,,,2019-11-26,2.0
270,A133729-4,2103241,5601.75,,,2019-11-26,2.0
271,H302202-1,2103241,62.58,,,2019-11-26,1.0
272,H130151-26,2103241,770.7,,,2019-11-26,1.0
273,A133180-5,2103241,1423.8,,,2019-11-26,1.0
274,H130951-4,2103241,762.46,,,2019-11-26,2.0
275,H133469-8,2103241,2683.8,,,2019-11-26,2.0
276,H302202-5,2103241,39.48,,,2019-11-26,1.0
277,H133620-37,2103241,904.89,,,2019-11-26,2.0
278,H130950-75,2103241,641.55,,,2019-11-26,2.0
279,H134203-7C41,2103241,1884.75,,,2019-11-26,1.0
280,H130151-35,2103241,373.8,,,2019-11-26,1.0
281,H134382-2,2103241,394.8,,,2019-11-26,1.0
282,50443G,Q302458,1460.55,2921.1,0.5,2019-06-27,4.0
283,50433,Q302458,890.4,1780.8,0.5,2019-06-27,4.0
284,A71463-1,Q302458,2682.75,4877.73,0.45,2019-06-27,4.0
285,H90033-41,Q302458,468.3,936.6,0.5,2019-06-27,4.0
286,51184G,Q302458,152.25,304.5,0.5,2019-06-27,16.0
287,H300220-1,Q302458,6.98,27.92,0.75,2019-06-27,8.0
288,H300220-6,Q302458,17.79,53.37,0.67,2019-06-27,12.0
289,83-000-437-82H,Q302458,6.69,26.75,0.75,2019-06-27,6.0
290,195000-279,Q302490,7.59,30.36,0.75,2019-08-07,1.0
291,195000-386,Q302490,14.74,44.22,0.67,2019-08-07,1.0
292,193474-382,Q302490,23.39,70.17,0.67,2019-08-07,4.0
293,A71190-3,Q302490,80.23,240.69,0.67,2019-08-07,2.0
294,A144337-2,Q302490,2.39,9.56,0.75,2019-08-07,12.0
295,195000-455,Q302490,12.27,36.81,0.67,2019-08-07,3.0
296,195001-422,Q302519,36.94,110.82,0.67,2019-09-13,2.0
297,A71190-3,Q302519,80.23,240.69,0.67,2019-09-13,3.0
298,193474-382,Q302519,23.39,70.17,0.67,2019-09-13,4.0
299,195000-455,Q302519,13.5,36.81,0.63,2019-09-13,4.0
300,H300664-4,Q302519,5.5,22.0,0.75,2019-09-13,3.0
301,51235N,Q302519,117.6,235.2,0.5,2019-09-13,4.0
302,H300220-6,Q302519,17.56,53.37,0.67,2019-09-13,4.0
303,85-700-203-01,Q302519,91.48,274.44,0.67,2019-09-13,4.0
304,H302246-46,Q302606/2,2.08,8.72,0.76,2019-05-09,3.0
305,195327-390,Q302606/2,2.26,9.48,0.76,2019-05-09,3.0
306,51233N,Q302352/1,238.0,499.8,0.52,2019-05-15,1.0
307,201517-309,Q302352/1,22.67,62.64,0.64,2019-05-15,1.0
308,201554-438,Q302352/1,63.62,174.8,0.64,2019-05-15,1.0
309,H130894-3,Q302352/1,21.96,76.0,0.71,2019-05-15,1.0
310,H300901-15,Q302352/1,0.72,3.04,0.76,2019-05-15,1.0
311,A300077-40,Q302352/1,138.7,422.9,0.67,2019-05-15,1.0
312,A207816-1,Q302352/1,2077.9,3116.85,0.33,2019-05-15,3.0
313,195000-454,Q302352/1,5.96,12.52,0.52,2019-05-15,4.0
314,73270,Q302352/1,26.67,84.0,0.68,2019-05-15,2.0
315,201603-396,Q302352/1,62.74,197.64,0.68,2019-05-15,2.0
316,201517-309,Q302352/1,22.67,62.64,0.64,2019-05-15,2.0
317,201554-438,Q302352/1,63.62,174.8,0.64,2019-05-15,2.0
318,H300664-4,Q302352/1,4.76,20.0,0.76,2019-05-15,2.0
319,144605,Q302352/1,4986.0,6980.4,0.29,2019-05-15,2.0
320,H300431-3,Q302352/1,13.66,40.98,0.67,2019-05-15,3.0
321,H300431-8,Q302352/1,35.21,126.69,0.72,2019-05-15,1.0
322,H300431-17,Q302352/1,289.09,693.82,0.58,2019-05-15,1.0
323,195000-112,Q302352/1,0.07,2.0,0.96,2019-05-15,8.0
324,H130894-2,Q302352/1,5.04,75.0,0.93,2019-05-15,1.0
325,H130894-9,Q302352/1,14.53,43.56,0.67,2019-05-15,1.0
326,H300432-1,Q302352/1,0.32,4.08,0.92,2019-05-15,2.0
327,69417,Q302352/1,12.38,79.02,0.84,2019-05-15,9.0
328,A71776-1,Q302352/1,60.0,305.62,0.8,2019-05-15,2.0
329,A70860-3,Q302352/1,298.0,625.8,0.52,2019-05-15,2.0
330,A300639-5,Q302352/1,13.02,41.01,0.68,2019-05-15,11.0
331,200730-5,Q302352/1,8.16,34.28,0.76,2019-05-15,1.0
332,201182-21,Q302352/1,6.21,26.08,0.76,2019-05-15,2.0
333,201182-21,Q302352/1,6.21,26.08,0.76,2019-05-15,1.0
334,A300804-35,Q302352/1,175.97,369.74,0.52,2019-05-15,2.0
335,H300150-7,Q302352/1,27.2,64.63,0.58,2019-05-15,1.0
336,H300150-8,Q302352/1,32.26,56.46,0.43,2019-05-15,3.0
337,H300461-1,Q302352/1,12.69,82.48,0.85,2019-05-15,8.0
338,195143-45,Q302352/1,0.26,5.0,0.95,2019-05-15,8.0
339,H133930-14,Q302352/1,338.0,709.8,0.52,2019-05-15,6.0
340,A71710-1,Q302352/1,308.0,539.0,0.43,2019-05-15,3.0
341,A71709-2,Q302352/1,215.0,451.5,0.52,2019-05-15,3.0
342,78428,Q302352/1,1.65,35.0,0.95,2019-05-15,2.0
343,78499,Q302352/1,32.0,82.8,0.61,2019-05-15,1.0
344,201510-118,Q302352/1,1.81,7.6,0.76,2019-05-15,2.0
345,A300638-2,Q302352/1,0.69,2.88,0.76,2019-05-15,1.0
346,A300641-1,Q302352/1,0.59,2.48,0.76,2019-05-15,1.0
347,H300411-32,2054503,26.45,87.41,0.7,2019-05-28,8.0
348,R301303-2 replaced by A294968-1,2054503,612.0,1944.0,0.69,2019-05-28,1.0
349,142793,2054503,270.9,626.0,0.57,2019-05-28,4.0
350,A112642-1,2054503,96.6,289.8,0.67,2019-05-28,1.0
351,H130465-2,2054503,12.1,48.0,0.75,2019-05-28,1.0
352,H300910-25,2054503,3.13,12.52,0.75,2019-05-28,6.0
353,H133930-4,2054503,302.4,604.8,0.5,2019-05-28,1.0
354,H300430-16,2054503,107.1,222.94,0.52,2019-05-28,2.0
355,H301005-2,2054503,0.82,6.97,0.88,2019-05-28,1.0
356,195000-225,2054503,0.24,0.96,0.75,2019-05-28,1.0
357,H130151-16,2054503,701.4,2136.0,0.67,2019-05-28,1.0
358,195000-324,2054503,0.24,0.96,0.75,2019-05-28,1.0
359,195000-350,2054503,1.19,4.75,0.75,2019-05-28,1.0
360,195143-45,2054503,1.0,5.0,0.8,2019-05-28,1.0
361,199595-34,2054503,212.32,567.12,0.63,2019-05-28,2.0
362,200095-12,2054503,3.44,13.73,0.75,2019-05-28,1.0
363,234538,2054503,0.7,11.48,0.94,2019-05-28,4.0
364,199868-42,2054503,11.96,26.53,0.55,2019-05-28,2.0
365,H300910-26,2054503,3.08,21.44,0.86,2019-05-28,4.0
366,H130839-1,2054503,,,,2019-05-28,1.0
367,H130893-9,2054503,168.0,336.0,0.5,2019-05-28,1.0
368,H130894-9,2054503,17.44,43.56,0.6,2019-05-28,1.0
369,H130896-6,2054503,37.22,224.0,0.83,2019-05-28,1.0
370,H130941-1,2054503,,,,2019-05-28,2.0
371,H133530-13,2054503,281.49,562.98,0.5,2019-05-28,2.0
372,H133912-1,2054503,0.89,21.0,0.96,2019-05-28,6.0
373,H133918-1,2054503,413.6,827.2,0.5,2019-05-28,1.0
374,A71781-1,2054503,,,,2019-05-28,1.0
375,96266-3,2054503,141.25,282.5,0.5,2019-05-28,1.0
376,193413-312,2054503,5.91,23.6,0.75,2019-05-28,2.0
377,H300431-8,2054503,40.0,126.69,0.68,2019-05-28,2.0
378,H300411-32,2054503,26.45,87.41,0.7,2019-05-28,24.0
379,A294968-1,2054503,612.0,1944.0,0.69,2019-05-28,1.0
380,A112642-1,2054503,96.6,289.8,0.67,2019-05-28,1.0
381,H130465-2,2054503,12.1,48.0,0.75,2019-05-28,1.0
382,H300910-25,2054503,3.13,12.52,0.75,2019-05-28,6.0
383,H133930-4,2054503,302.4,604.8,0.5,2019-05-28,1.0
384,H300430-16,2054503,107.1,222.94,0.52,2019-05-28,2.0
385,H301005-2,2054503,0.82,6.97,0.88,2019-05-28,1.0
386,195000-225,2054503,0.24,0.96,0.75,2019-05-28,1.0
387,H130151-16,2054503,701.4,2136.0,0.67,2019-05-28,1.0
388,195000-324,2054503,0.24,0.96,0.75,2019-05-28,1.0
389,195000-350,2054503,1.19,4.75,0.75,2019-05-28,1.0
390,195143-45,2054503,1.0,5.0,0.8,2019-05-28,1.0
391,199595-34,2054503,212.32,567.12,0.63,2019-05-28,2.0
392,200095-12,2054503,3.44,13.73,0.75,2019-05-28,1.0
393,234538,2054503,0.7,11.48,0.94,2019-05-28,4.0
394,199868-42,2054503,11.96,26.53,0.55,2019-05-28,2.0
395,H300910-26,2054503,3.08,21.44,0.86,2019-05-28,4.0
396,H130839-1,2054503,0.0,12226.15,1.0,2019-05-28,1.0
