ident,PNs,Date,Quantity,Material,Bought Out,Sub-Con,Machining,Fabrication,Test & Assy,Margin,Unit Cost,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Spare PNs,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Excel Name,Customer,Item Number,Deal Machine ID
EUK 1840843 Rev 02.xlsx - 17,H300431-11,2018-05-03,6,,45.25,,,,,0.67,45.25,135.75,814.5,[],0.0,135.75,814.5,EUK 1840843 Rev 02.xlsx,Chrysaor,17,EUK 1840843
EUK 1840843 Rev 02.xlsx - 18,H300431-12,2018-05-03,6,,172.29,,,,,0.5,172.29,344.59,2067.54,[],0.0,344.59,2067.54,EUK 1840843 Rev 02.xlsx,Chrysaor,18,EUK 1840843
EUK 1840843 Rev 02.xlsx - 19,H300461-1,2018-05-03,12,,16.55,,,,,0.67,16.55,49.65,595.8,[],0.0,49.65,595.8,EUK 1840843 Rev 02.xlsx,Chrysaor,19,EUK 1840843
EUK 1840843 Rev 02.xlsx - 20,H73403-1,2018-05-03,4,,160.0,,,,,0.5,160.0,320.0,1280.0,[],0.0,320.0,1280.0,EUK 1840843 Rev 02.xlsx,Chrysaor,20,EUK 1840843
EUK 1840843 Rev 02.xlsx - 21,H300733-4,2018-05-03,4,,40.0,,,,,0.67,40.0,120.0,480.0,[],0.0,120.0,480.0,EUK 1840843 Rev 02.xlsx,Chrysaor,21,EUK 1840843
EUK 1840843 Rev 02.xlsx - 22,"153153, A935788-6, A935788-7",2018-05-03,4,,422.61,21.13,8.45,,,0.5,452.2,904.39,3617.58,[],0.0,904.39,3617.58,EUK 1840843 Rev 02.xlsx,Chrysaor,22,EUK 1840843
EUK 1840843 Rev 02.xlsx - 23,A145151,2018-05-03,4,,26.5,,,,,0.67,26.5,79.5,318.0,[],0.0,79.5,318.0,EUK 1840843 Rev 02.xlsx,Chrysaor,23,EUK 1840843
EUK 1840843 Rev 02.xlsx - 24,N103126-1,2018-05-03,2,,30.09,,,,,0.67,30.09,90.27,180.54,[],0.0,90.27,180.54,EUK 1840843 Rev 02.xlsx,Chrysaor,24,EUK 1840843
EUK 1840843 Rev 02.xlsx - 25,72096,2018-05-03,90,,0.8,,,,,0.75,0.8,3.2,288.0,[],0.0,3.2,288.0,EUK 1840843 Rev 02.xlsx,Chrysaor,25,EUK 1840843
EUK 1840843 Rev 02.xlsx - 26,72094,2018-05-03,90,,0.58,,,,,0.75,0.58,2.32,208.8,[],0.0,2.32,208.8,EUK 1840843 Rev 02.xlsx,Chrysaor,26,EUK 1840843
EUK 1840843 Rev 02.xlsx - 27,195000-279,2018-05-03,2,,6.0,,,,,0.75,6.0,24.0,48.0,[],0.0,24.0,48.0,EUK 1840843 Rev 02.xlsx,Chrysaor,27,EUK 1840843
EUK 1840843 Rev 02.xlsx - 28,A935788-6,2018-05-03,4,,363.6,,,,,0.5,363.6,727.2,2908.8,[],0.0,727.2,2908.8,EUK 1840843 Rev 02.xlsx,Chrysaor,28,EUK 1840843
EUK 1840843 Rev 02.xlsx - 29,A935788-7,2018-05-03,2,,482.26,,,,,0.5,482.26,964.52,1929.04,[],0.0,964.52,1929.04,EUK 1840843 Rev 02.xlsx,Chrysaor,29,EUK 1840843
EUK 1840843 Rev 02.xlsx - 30,A145151,2018-05-03,4,,26.5,,,,,0.65,26.5,76.5,306.0,[],0.0,76.5,306.0,EUK 1840843 Rev 02.xlsx,Chrysaor,30,EUK 1840843
EUK 1840843 Rev 02.xlsx - 31,N103126-1,2018-05-03,2,,30.09,,,,,0.67,30.09,90.27,180.54,[],0.0,90.27,180.54,EUK 1840843 Rev 02.xlsx,Chrysaor,31,EUK 1840843
EUK 1840843 Rev 02.xlsx - 32,A930664-5,2018-05-03,4,,361.6,,,,,0.5,361.6,723.2,2892.8,[],0.0,723.2,2892.8,EUK 1840843 Rev 02.xlsx,Chrysaor,32,EUK 1840843
EUK 1840843 Rev 02.xlsx - 33,A930664-6,2018-05-03,2,,482.26,,,,,0.5,482.26,964.52,1929.04,[],0.0,964.52,1929.04,EUK 1840843 Rev 02.xlsx,Chrysaor,33,EUK 1840843
EUK 1840843 Rev 02.xlsx - 34,A306521-1,2018-05-03,6,,15.83,,,,,0.67,15.83,47.49,284.94,[],0.0,47.49,284.94,EUK 1840843 Rev 02.xlsx,Chrysaor,34,EUK 1840843
EUK 1840843 Rev 02.xlsx - 35,A72451-1,2018-05-03,4,,40.79,,,,,0.67,40.79,122.37,489.48,[],0.0,122.37,489.48,EUK 1840843 Rev 02.xlsx,Chrysaor,35,EUK 1840843
EUK 1840843 Rev 02.xlsx - 36,96250-18,2018-05-03,4,,40.48,,,,,0.67,40.48,121.44,485.76,[],0.0,121.44,485.76,EUK 1840843 Rev 02.xlsx,Chrysaor,36,EUK 1840843
EUK 1840843 Rev 02.xlsx - 37,H71697-1,2018-05-03,2,,7310.33,,,,,0.22,7310.33,9402.36,18804.72,[],0.0,9402.36,18804.72,EUK 1840843 Rev 02.xlsx,Chrysaor,37,EUK 1840843
EUK 1840843 Rev 02.xlsx - 38,195000-386,2018-05-03,3,,11.09,,,,,0.67,11.09,33.27,99.81,[],0.0,33.27,99.81,EUK 1840843 Rev 02.xlsx,Chrysaor,38,EUK 1840843
EUK 1840843 Rev 02.xlsx - 39,195000-386,2018-05-03,3,,11.09,,,,,0.67,11.09,33.27,99.81,[],0.0,33.27,99.81,EUK 1840843 Rev 02.xlsx,Chrysaor,39,EUK 1840843
EUK 1840843 Rev 02.xlsx - 40,195000-442,2018-05-03,3,,1.91,,,,,0.75,1.91,7.64,22.92,[],0.0,7.64,22.92,EUK 1840843 Rev 02.xlsx,Chrysaor,40,EUK 1840843
EUK 1840843 Rev 02.xlsx - 41,A71190-3,2018-05-03,3,,74.48,,,,,0.67,74.48,223.44,670.32,[],0.0,223.44,670.32,EUK 1840843 Rev 02.xlsx,Chrysaor,41,EUK 1840843
EUK 1840843 Rev 02.xlsx - 42,195001-381,2018-05-03,3,,5.35,,,,,0.75,5.35,21.4,64.2,[],0.0,21.4,64.2,EUK 1840843 Rev 02.xlsx,Chrysaor,42,EUK 1840843
EUK 1840843 Rev 02.xlsx - 43,195000-441,2018-05-03,12,,1.85,,,,,0.75,1.85,7.4,88.8,[],0.0,7.4,88.8,EUK 1840843 Rev 02.xlsx,Chrysaor,43,EUK 1840843
EUK 1840843 Rev 02.xlsx - 44,195034-244,2018-05-03,12,,11.51,,,,,0.67,11.51,34.53,414.36,[],0.0,34.53,414.36,EUK 1840843 Rev 02.xlsx,Chrysaor,44,EUK 1840843
EUK 1840843 Rev 02.xlsx - 45,193413-311,2018-05-03,6,,8.0,,,,,0.75,8.0,32.0,192.0,[],0.0,32.0,192.0,EUK 1840843 Rev 02.xlsx,Chrysaor,45,EUK 1840843
EUK 1840843 Rev 02.xlsx - 41,D70677-1,2018-05-03,3,,206.0,,,,,0.5,206.0,412.0,1236.0,[],0.0,412.0,1236.0,EUK 1840843 Rev 02.xlsx,Chrysaor,41,EUK 1840843
EUK 1840843 Rev 02.xlsx - 46,6501014600,2018-05-03,6,,3.65,,,,,0.75,3.65,14.6,87.6,[],0.0,14.6,87.6,EUK 1840843 Rev 02.xlsx,Chrysaor,46,EUK 1840843
EUK 1840843 Rev 02.xlsx - 47,A301017-107,2018-05-03,12,,6.5,,,,,0.75,6.5,26.0,312.0,[],0.0,26.0,312.0,EUK 1840843 Rev 02.xlsx,Chrysaor,47,EUK 1840843
EUK 1840843 Rev 02.xlsx - 48,195000-445,2018-05-03,3,,10.31,,,,,0.75,10.31,41.24,123.72,[],0.0,41.24,123.72,EUK 1840843 Rev 02.xlsx,Chrysaor,48,EUK 1840843
EUK 1840843 Rev 02.xlsx - 49,195000-441,2018-05-03,3,,1.85,,,,,0.75,1.85,7.4,22.2,[],0.0,7.4,22.2,EUK 1840843 Rev 02.xlsx,Chrysaor,49,EUK 1840843
EUK 1840843 Rev 02.xlsx - 50,H300664-4,2018-05-03,3,,2.11,,,,,0.75,2.11,8.44,25.32,[],0.0,8.44,25.32,EUK 1840843 Rev 02.xlsx,Chrysaor,50,EUK 1840843
EUK 1840843 Rev 02.xlsx - 51,A70309-5,2018-05-03,12,,35.0,,,,,0.67,35.0,105.0,1260.0,[],0.0,105.0,1260.0,EUK 1840843 Rev 02.xlsx,Chrysaor,51,EUK 1840843
EUK 1840843 Rev 02.xlsx - 52,195000-441,2018-05-03,3,,1.85,,,,,0.75,1.85,7.4,22.2,[],0.0,7.4,22.2,EUK 1840843 Rev 02.xlsx,Chrysaor,52,EUK 1840843
EUK 1840843 Rev 02.xlsx - 53,195034-98,2018-05-03,3,,0.36,,,,,0.75,0.36,1.44,4.32,[],0.0,1.44,4.32,EUK 1840843 Rev 02.xlsx,Chrysaor,53,EUK 1840843
EUK 1840843 Rev 02.xlsx - 54,78042304,2018-05-03,12,,127.44,,,,,0.5,127.44,254.88,3058.56,[],0.0,254.88,3058.56,EUK 1840843 Rev 02.xlsx,Chrysaor,54,EUK 1840843
EUK 1840843 Rev 02.xlsx - 55,195000-441,2018-05-03,3,,1.85,,,,,0.75,1.85,7.4,22.2,[],0.0,7.4,22.2,EUK 1840843 Rev 02.xlsx,Chrysaor,55,EUK 1840843
EUK 1840843 Rev 02.xlsx - 56,195000-445,2018-05-03,3,,10.31,,,,,0.5,10.31,20.62,61.86,[],0.0,20.62,61.86,EUK 1840843 Rev 02.xlsx,Chrysaor,56,EUK 1840843
EUK 1840843 Rev 02.xlsx - 57,195034-262,2018-05-03,12,,1.55,,,,,0.75,1.55,6.2,74.4,[],0.0,6.2,74.4,EUK 1840843 Rev 02.xlsx,Chrysaor,57,EUK 1840843
EUK 1840843 Rev 03.xlsx - 1,A944883-1,2018-08-10,1,,31727.54,,,,,0.22,31727.54,40833.39,40833.39,[],0.0,40833.39,40833.39,EUK 1840843 Rev 03.xlsx,Chrysaor,1,EUK 1840843
EUK 1840843 Rev 03.xlsx - 2,A944875-1,2018-08-10,1,,9000.0,,,,,0.22,9000.0,11583.01,11583.01,[],0.0,11583.01,11583.01,EUK 1840843 Rev 03.xlsx,Chrysaor,2,EUK 1840843
EUK 1840843 Rev 03.xlsx - 3,A72657-1,2018-08-10,1,,10130.0,,,,,0.22,10130.0,13037.32,13037.32,[],0.0,13037.32,13037.32,EUK 1840843 Rev 03.xlsx,Chrysaor,3,EUK 1840843
EUK 1840843 Rev 03.xlsx - 4,D70364-1REF,2018-08-10,1,,14600.0,1871.97,,,,0.22,16471.97,21199.44,21199.44,[],0.0,21199.44,21199.44,EUK 1840843 Rev 03.xlsx,Chrysaor,4,EUK 1840843
EUK 1840843 Rev 03.xlsx - 5,H72162-1,2018-08-10,1,,5148.46,600.0,125.73,,,0.22,5874.19,7560.08,7560.08,[],0.0,7560.08,7560.08,EUK 1840843 Rev 03.xlsx,Chrysaor,5,EUK 1840843
EUK 1840843 Rev 03.xlsx - 6,A931432-2,2018-08-10,1,,6716.13,600.0,164.01,,,0.22,7480.14,9626.95,9626.95,[],0.0,9626.95,9626.95,EUK 1840843 Rev 03.xlsx,Chrysaor,6,EUK 1840843
EUK 1840843 Rev 03.xlsx - 7,50442G,2018-08-10,2,,2407.0,,,,,0.06,2407.0,2556.46,5112.92,[],0.0,2556.46,5112.92,EUK 1840843 Rev 03.xlsx,Chrysaor,7,EUK 1840843
EUK 1840843 Rev 03.xlsx - 8,50443G,2018-08-10,4,,1022.0,,,,,0.33,1022.0,1516.59,6066.36,[],0.0,1516.59,6066.36,EUK 1840843 Rev 03.xlsx,Chrysaor,8,EUK 1840843
EUK 1840843 Rev 03.xlsx - 9,A70243-3,2018-08-10,2,,2267.0,,,,,0.26,2267.0,3061.54,6123.08,[],0.0,3061.54,6123.08,EUK 1840843 Rev 03.xlsx,Chrysaor,9,EUK 1840843
EUK 1840843 Rev 03.xlsx - 10,51184G,2018-08-10,16,,145.0,,,,,0.16,145.0,172.86,2765.76,[],0.0,172.86,2765.76,EUK 1840843 Rev 03.xlsx,Chrysaor,10,EUK 1840843
EUK 1840843 Rev 03.xlsx - 11,154912,2018-08-10,2,,239.26,,,,,0.5,239.26,478.52,957.04,[],0.0,478.52,957.04,EUK 1840843 Rev 03.xlsx,Chrysaor,11,EUK 1840843
EUK 1840843 Rev 03.xlsx - 12,51233,2018-08-10,6,,169.0,,,,,0.5,169.0,338.0,2028.0,[],0.0,338.0,2028.0,EUK 1840843 Rev 03.xlsx,Chrysaor,12,EUK 1840843
EUK 1840843 Rev 03.xlsx - 13,A71463-7,2018-08-10,2,,1199.0,,,,,0.38,1199.0,1923.09,3846.18,[],0.0,1923.09,3846.18,EUK 1840843 Rev 03.xlsx,Chrysaor,13,EUK 1840843
EUK 1840843 Rev 03.xlsx - 14,H300667-6,2018-08-10,2,,373.95,,,,,0.5,373.95,747.9,1495.8,[],0.0,747.9,1495.8,EUK 1840843 Rev 03.xlsx,Chrysaor,14,EUK 1840843
EUK 1840843 Rev 03.xlsx - 15,H70755-5,2018-08-10,4,,187.0,,,,,0.5,187.0,374.0,1496.0,[],0.0,374.0,1496.0,EUK 1840843 Rev 03.xlsx,Chrysaor,15,EUK 1840843
EUK 1840843 Rev 03.xlsx - 16,H300667-6,2018-08-10,2,,373.95,,,,,0.5,373.95,747.9,1495.8,[],0.0,747.9,1495.8,EUK 1840843 Rev 03.xlsx,Chrysaor,16,EUK 1840843
EUK 1840843 Rev 03.xlsx - 17,H300431-11,2018-08-10,6,,45.25,,,,,0.67,45.25,135.75,814.5,[],0.0,135.75,814.5,EUK 1840843 Rev 03.xlsx,Chrysaor,17,EUK 1840843
EUK 1840843 Rev 03.xlsx - 18,H300431-12,2018-08-10,6,,172.29,,,,,0.5,172.29,344.59,2067.54,[],0.0,344.59,2067.54,EUK 1840843 Rev 03.xlsx,Chrysaor,18,EUK 1840843
EUK 1840843 Rev 03.xlsx - 19,H300461-1,2018-08-10,12,,16.55,,,,,0.67,16.55,49.65,595.8,[],0.0,49.65,595.8,EUK 1840843 Rev 03.xlsx,Chrysaor,19,EUK 1840843
EUK 1840843 Rev 03.xlsx - 20,H73403-1,2018-08-10,4,,160.0,,,,,0.5,160.0,320.0,1280.0,[],0.0,320.0,1280.0,EUK 1840843 Rev 03.xlsx,Chrysaor,20,EUK 1840843
EUK 1840843 Rev 03.xlsx - 21,H300733-4,2018-08-10,4,,40.0,,,,,0.67,40.0,120.0,480.0,[],0.0,120.0,480.0,EUK 1840843 Rev 03.xlsx,Chrysaor,21,EUK 1840843
EUK 1840843 Rev 03.xlsx - 22,"153153, A935788-6, A935788-7",2018-08-10,4,,422.61,21.13,8.45,,,0.5,452.2,904.39,3617.58,[],0.0,904.39,3617.58,EUK 1840843 Rev 03.xlsx,Chrysaor,22,EUK 1840843
EUK 1840843 Rev 03.xlsx - 23,A145151,2018-08-10,4,,26.5,,,,,0.67,26.5,79.5,318.0,[],0.0,79.5,318.0,EUK 1840843 Rev 03.xlsx,Chrysaor,23,EUK 1840843
EUK 1840843 Rev 03.xlsx - 24,N103126-1,2018-08-10,2,,30.09,,,,,0.67,30.09,90.27,180.54,[],0.0,90.27,180.54,EUK 1840843 Rev 03.xlsx,Chrysaor,24,EUK 1840843
EUK 1840843 Rev 03.xlsx - 25,72096,2018-08-10,90,,0.8,,,,,0.75,0.8,3.2,288.0,[],0.0,3.2,288.0,EUK 1840843 Rev 03.xlsx,Chrysaor,25,EUK 1840843
EUK 1840843 Rev 03.xlsx - 26,72094,2018-08-10,90,,0.58,,,,,0.75,0.58,2.32,208.8,[],0.0,2.32,208.8,EUK 1840843 Rev 03.xlsx,Chrysaor,26,EUK 1840843
EUK 1840843 Rev 03.xlsx - 27,195000-279,2018-08-10,2,,6.0,,,,,0.75,6.0,24.0,48.0,[],0.0,24.0,48.0,EUK 1840843 Rev 03.xlsx,Chrysaor,27,EUK 1840843
EUK 1840843 Rev 03.xlsx - 28,A935788-6,2018-08-10,4,,363.6,,,,,0.5,363.6,727.2,2908.8,[],0.0,727.2,2908.8,EUK 1840843 Rev 03.xlsx,Chrysaor,28,EUK 1840843
EUK 1840843 Rev 03.xlsx - 29,A935788-7,2018-08-10,2,,482.26,,,,,0.5,482.26,964.52,1929.04,[],0.0,964.52,1929.04,EUK 1840843 Rev 03.xlsx,Chrysaor,29,EUK 1840843
EUK 1840843 Rev 03.xlsx - 30,A145151,2018-08-10,4,,26.5,,,,,0.65,26.5,76.5,306.0,[],0.0,76.5,306.0,EUK 1840843 Rev 03.xlsx,Chrysaor,30,EUK 1840843
EUK 1840843 Rev 03.xlsx - 31,N103126-1,2018-08-10,2,,30.09,,,,,0.67,30.09,90.27,180.54,[],0.0,90.27,180.54,EUK 1840843 Rev 03.xlsx,Chrysaor,31,EUK 1840843
EUK 1840843 Rev 03.xlsx - 32,A930664-5,2018-08-10,4,,361.6,,,,,0.5,361.6,723.2,2892.8,[],0.0,723.2,2892.8,EUK 1840843 Rev 03.xlsx,Chrysaor,32,EUK 1840843
EUK 1840843 Rev 03.xlsx - 33,A930664-6,2018-08-10,2,,482.26,,,,,0.5,482.26,964.52,1929.04,[],0.0,964.52,1929.04,EUK 1840843 Rev 03.xlsx,Chrysaor,33,EUK 1840843
EUK 1840843 Rev 03.xlsx - 34,A306521-1,2018-08-10,6,,15.83,,,,,0.67,15.83,47.49,284.94,[],0.0,47.49,284.94,EUK 1840843 Rev 03.xlsx,Chrysaor,34,EUK 1840843
EUK 1840843 Rev 03.xlsx - 35,A72451-1,2018-08-10,4,,40.79,,,,,0.67,40.79,122.37,489.48,[],0.0,122.37,489.48,EUK 1840843 Rev 03.xlsx,Chrysaor,35,EUK 1840843
EUK 1840843 Rev 03.xlsx - 36,96250-18,2018-08-10,4,,40.48,,,,,0.67,40.48,121.44,485.76,[],0.0,121.44,485.76,EUK 1840843 Rev 03.xlsx,Chrysaor,36,EUK 1840843
EUK 1840843 Rev 03.xlsx - 37,H71697-1,2018-08-10,2,,7310.33,,,,,0.22,7310.33,9402.36,18804.72,[],0.0,9402.36,18804.72,EUK 1840843 Rev 03.xlsx,Chrysaor,37,EUK 1840843
EUK 1840843 Rev 03.xlsx - 38,195000-386,2018-08-10,3,,11.09,,,,,0.67,11.09,33.27,99.81,[],0.0,33.27,99.81,EUK 1840843 Rev 03.xlsx,Chrysaor,38,EUK 1840843
EUK 1840843 Rev 03.xlsx - 39,195000-386,2018-08-10,3,,11.09,,,,,0.67,11.09,33.27,99.81,[],0.0,33.27,99.81,EUK 1840843 Rev 03.xlsx,Chrysaor,39,EUK 1840843
EUK 1840843 Rev 03.xlsx - 40,195000-442,2018-08-10,3,,1.91,,,,,0.75,1.91,7.64,22.92,[],0.0,7.64,22.92,EUK 1840843 Rev 03.xlsx,Chrysaor,40,EUK 1840843
EUK 1840843 Rev 03.xlsx - 41,A71190-3,2018-08-10,3,,74.48,,,,,0.67,74.48,223.44,670.32,[],0.0,223.44,670.32,EUK 1840843 Rev 03.xlsx,Chrysaor,41,EUK 1840843
EUK 1840843 Rev 03.xlsx - 42,195001-381,2018-08-10,3,,5.35,,,,,0.75,5.35,21.4,64.2,[],0.0,21.4,64.2,EUK 1840843 Rev 03.xlsx,Chrysaor,42,EUK 1840843
EUK 1840843 Rev 03.xlsx - 43,195000-441,2018-08-10,12,,1.85,,,,,0.75,1.85,7.4,88.8,[],0.0,7.4,88.8,EUK 1840843 Rev 03.xlsx,Chrysaor,43,EUK 1840843
EUK 1840843 Rev 03.xlsx - 44,195034-244,2018-08-10,12,,11.51,,,,,0.67,11.51,34.53,414.36,[],0.0,34.53,414.36,EUK 1840843 Rev 03.xlsx,Chrysaor,44,EUK 1840843
EUK 1840843 Rev 03.xlsx - 45,193413-311,2018-08-10,6,,8.0,,,,,0.75,8.0,32.0,192.0,[],0.0,32.0,192.0,EUK 1840843 Rev 03.xlsx,Chrysaor,45,EUK 1840843
EUK 1840843 Rev 03.xlsx - 41,D70677-1,2018-08-10,3,,206.0,,,,,0.5,206.0,412.0,1236.0,[],0.0,412.0,1236.0,EUK 1840843 Rev 03.xlsx,Chrysaor,41,EUK 1840843
EUK 1840843 Rev 03.xlsx - 46,6501014600,2018-08-10,6,,3.65,,,,,0.75,3.65,14.6,87.6,[],0.0,14.6,87.6,EUK 1840843 Rev 03.xlsx,Chrysaor,46,EUK 1840843
EUK 1840843 Rev 03.xlsx - 47,A301017-107,2018-08-10,12,,6.5,,,,,0.75,6.5,26.0,312.0,[],0.0,26.0,312.0,EUK 1840843 Rev 03.xlsx,Chrysaor,47,EUK 1840843
EUK 1840843 Rev 03.xlsx - 48,195000-445,2018-08-10,3,,10.31,,,,,0.75,10.31,41.24,123.72,[],0.0,41.24,123.72,EUK 1840843 Rev 03.xlsx,Chrysaor,48,EUK 1840843
EUK 1840843 Rev 03.xlsx - 49,195000-441,2018-08-10,3,,1.85,,,,,0.75,1.85,7.4,22.2,[],0.0,7.4,22.2,EUK 1840843 Rev 03.xlsx,Chrysaor,49,EUK 1840843
EUK 1840843 Rev 03.xlsx - 50,H300664-4,2018-08-10,3,,2.11,,,,,0.75,2.11,8.44,25.32,[],0.0,8.44,25.32,EUK 1840843 Rev 03.xlsx,Chrysaor,50,EUK 1840843
EUK 1840843 Rev 03.xlsx - 51,A70309-5,2018-08-10,12,,35.0,,,,,0.67,35.0,105.0,1260.0,[],0.0,105.0,1260.0,EUK 1840843 Rev 03.xlsx,Chrysaor,51,EUK 1840843
EUK 1840843 Rev 03.xlsx - 52,195000-441,2018-08-10,3,,1.85,,,,,0.75,1.85,7.4,22.2,[],0.0,7.4,22.2,EUK 1840843 Rev 03.xlsx,Chrysaor,52,EUK 1840843
EUK 1840843 Rev 03.xlsx - 53,195034-98,2018-08-10,3,,0.36,,,,,0.75,0.36,1.44,4.32,[],0.0,1.44,4.32,EUK 1840843 Rev 03.xlsx,Chrysaor,53,EUK 1840843
EUK 1840843 Rev 03.xlsx - 54,78042304,2018-08-10,12,,127.44,,,,,0.5,127.44,254.88,3058.56,[],0.0,254.88,3058.56,EUK 1840843 Rev 03.xlsx,Chrysaor,54,EUK 1840843
EUK 1840843 Rev 03.xlsx - 55,195000-441,2018-08-10,3,,1.85,,,,,0.75,1.85,7.4,22.2,[],0.0,7.4,22.2,EUK 1840843 Rev 03.xlsx,Chrysaor,55,EUK 1840843
EUK 1840843 Rev 03.xlsx - 56,195000-445,2018-08-10,3,,10.31,,,,,0.5,10.31,20.62,61.86,[],0.0,20.62,61.86,EUK 1840843 Rev 03.xlsx,Chrysaor,56,EUK 1840843
EUK 1840843 Rev 03.xlsx - 57,195034-262,2018-08-10,12,,1.55,,,,,0.75,1.55,6.2,74.4,[],0.0,6.2,74.4,EUK 1840843 Rev 03.xlsx,Chrysaor,57,EUK 1840843
EUK 1840843 Rev 0.xlsx - 1,A944883-1,2018-03-27,1,,31736.55,,,,,0.22,31736.55,40844.98,40844.98,[],0.0,40844.98,40844.98,EUK 1840843 Rev 0.xlsx,Chrysaor,1,EUK 1840843
EUK 1840843 Rev 0.xlsx - 2,A944875-1,2018-03-27,1,,9000.0,,,,,0.22,9000.0,11583.01,11583.01,[],0.0,11583.01,11583.01,EUK 1840843 Rev 0.xlsx,Chrysaor,2,EUK 1840843
EUK 1840843 Rev 0.xlsx - 3,A72657-1,2018-03-27,1,,10130.0,,,,,0.22,10130.0,13037.32,13037.32,[],0.0,13037.32,13037.32,EUK 1840843 Rev 0.xlsx,Chrysaor,3,EUK 1840843
EUK 1840843 Rev 0.xlsx - 4,D70364-1REF,2018-03-27,1,,14600.0,1878.88,,,,0.22,16478.88,21208.34,21208.34,[],0.0,21208.34,21208.34,EUK 1840843 Rev 0.xlsx,Chrysaor,4,EUK 1840843
EUK 1840843 Rev 0.xlsx - 5,H72162-1,2018-03-27,1,,5167.47,600.0,126.19,,,0.22,5893.66,7585.14,7585.14,[],0.0,7585.14,7585.14,EUK 1840843 Rev 0.xlsx,Chrysaor,5,EUK 1840843
EUK 1840843 Rev 0.xlsx - 6,A931432-2,2018-03-27,1,,6740.93,600.0,164.61,,,0.22,7505.54,9659.64,9659.64,[],0.0,9659.64,9659.64,EUK 1840843 Rev 0.xlsx,Chrysaor,6,EUK 1840843
EUK 1840843 Rev 0.xlsx - 7,50442G,2018-03-27,2,,2103.0,,,,,0.5,2103.0,4206.0,8412.0,[],0.0,4206.0,8412.0,EUK 1840843 Rev 0.xlsx,Chrysaor,7,EUK 1840843
EUK 1840843 Rev 0.xlsx - 8,50443G,2018-03-27,4,,1022.0,,,,,0.5,1022.0,2044.0,8176.0,[],0.0,2044.0,8176.0,EUK 1840843 Rev 0.xlsx,Chrysaor,8,EUK 1840843
EUK 1840843 Rev 0.xlsx - 9,A70243-3,2018-03-27,2,,2267.0,,,,,0.5,2267.0,4534.0,9068.0,[],0.0,4534.0,9068.0,EUK 1840843 Rev 0.xlsx,Chrysaor,9,EUK 1840843
EUK 1840843 Rev 0.xlsx - 10,51184G,2018-03-27,16,,102.0,,,,,0.5,102.0,204.0,3264.0,[],0.0,204.0,3264.0,EUK 1840843 Rev 0.xlsx,Chrysaor,10,EUK 1840843
EUK 1840843 Rev 0.xlsx - 11,154912,2018-03-27,2,,239.26,,,,,0.5,239.26,478.52,957.04,[],0.0,478.52,957.04,EUK 1840843 Rev 0.xlsx,Chrysaor,11,EUK 1840843
EUK 1840843 Rev 0.xlsx - 12,51233,2018-03-27,6,,169.0,,,,,0.5,169.0,338.0,2028.0,[],0.0,338.0,2028.0,EUK 1840843 Rev 0.xlsx,Chrysaor,12,EUK 1840843
EUK 1840843 Rev 0.xlsx - 13,A71463-7,2018-03-27,2,,1199.0,,,,,0.5,1199.0,2398.0,4796.0,[],0.0,2398.0,4796.0,EUK 1840843 Rev 0.xlsx,Chrysaor,13,EUK 1840843
EUK 1840843 Rev 0.xlsx - 14,H300667-6,2018-03-27,2,,373.95,,,,,0.5,373.95,747.9,1495.8,[],0.0,747.9,1495.8,EUK 1840843 Rev 0.xlsx,Chrysaor,14,EUK 1840843
EUK 1840843 Rev 0.xlsx - 15,R70767-2,2018-03-27,4,,218.1,,,,,0.5,218.1,436.21,1744.84,[],0.0,436.21,1744.84,EUK 1840843 Rev 0.xlsx,Chrysaor,15,EUK 1840843
EUK 1840843 Rev 0.xlsx - 16,H300667-6,2018-03-27,2,,373.95,,,,,0.5,373.95,747.9,1495.8,[],0.0,747.9,1495.8,EUK 1840843 Rev 0.xlsx,Chrysaor,16,EUK 1840843
EUK 1840843 Rev 0.xlsx - 17,H300431-11,2018-03-27,6,,45.25,,,,,0.67,45.25,135.75,814.5,[],0.0,135.75,814.5,EUK 1840843 Rev 0.xlsx,Chrysaor,17,EUK 1840843
EUK 1840843 Rev 0.xlsx - 18,H300431-12,2018-03-27,6,,172.29,,,,,0.5,172.29,344.59,2067.54,[],0.0,344.59,2067.54,EUK 1840843 Rev 0.xlsx,Chrysaor,18,EUK 1840843
EUK 1840843 Rev 0.xlsx - 19,H300461-1,2018-03-27,12,,16.55,,,,,0.67,16.55,49.65,595.8,[],0.0,49.65,595.8,EUK 1840843 Rev 0.xlsx,Chrysaor,19,EUK 1840843
EUK 1840843 Rev 0.xlsx - 20,H73403-1,2018-03-27,4,,160.0,,,,,0.5,160.0,320.0,1280.0,[],0.0,320.0,1280.0,EUK 1840843 Rev 0.xlsx,Chrysaor,20,EUK 1840843
EUK 1840843 Rev 0.xlsx - 21,H300733-4,2018-03-27,4,,40.0,,,,,0.67,40.0,120.0,480.0,[],0.0,120.0,480.0,EUK 1840843 Rev 0.xlsx,Chrysaor,21,EUK 1840843
EUK 1840843 Rev 0.xlsx - 22,72096,2018-03-27,90,,0.8,,,,,0.75,0.8,3.2,288.0,[],0.0,3.2,288.0,EUK 1840843 Rev 0.xlsx,Chrysaor,22,EUK 1840843
