ident,PNs,Date,Quantity,Material,Bought Out,Sub-Con,Machining,Fabrication,Test & Assy,Margin,Unit Cost,Total Unit Sell - No Spares,Total Ext Sell - No Spares,Spare PNs,Total Ext Sell - Spares,Total Unit Sell,Total Ext Sell,Excel Name,Customer,Item Number,Deal Machine ID
Apache 2032438 FCM exc LI 9 Rev 00.xlsx - 12,398003,2019-06-11,1,0.0,9345.37,1422.54,223.79,0.0,0.0,0.38,10991.7,17707.9,17707.9,[],0.0,17707.9,17707.9,Apache 2032438 FCM exc LI 9 Rev 00.xlsx,Apache,12,2032438
Apache 2032438 FCM LI 9 Rev 01.xlsx - 9,A131004-1,2019-07-02,2,0.0,25660.64,1468.58,623.91,0.0,0.0,0.5,27753.13,55506.26,111012.52,[],0.0,55506.26,111012.52,Apache 2032438 FCM LI 9 Rev 01.xlsx,Apache,9,2032438
EUK 1016044 Apache - A131004-1 Valve FCM Rev00.xlsx - 1,"A131000-1, A130997-1, A131004-1, A131044-1",1899-12-29,1,0.0,18716.0,0.0,0.0,0.0,2092.76,0.35,21641.11,33294.02,33294.02,[],0.0,33294.02,33294.02,EUK 1016044 Apache - A131004-1 Valve FCM Rev00.xlsx,Apache,1,
Apache 2071366 FCM Rev 00.xlsx - 1,R70815-1,2019-07-26,6,0.0,165.0,75.55,335.0,0.0,1346.0,0.5,1921.55,3843.1,23058.6,[],0.0,3843.1,23058.6,Apache 2071366 FCM Rev 00.xlsx,Apache,1,2071366
Apache 2071366 FCM Rev 00.xlsx - 2,R301126-1,2019-07-26,24,0.0,23.75,1.19,0.0,0.0,0.0,0.67,24.94,74.82,1795.68,[],0.0,74.82,1795.68,Apache 2071366 FCM Rev 00.xlsx,Apache,2,2071366
Apache 2071366 FCM Rev 00.xlsx - 3,132668,2019-07-26,36,0.0,32.0,1.6,0.0,0.0,0.0,0.67,33.6,100.8,3628.8,[],0.0,100.8,3628.8,Apache 2071366 FCM Rev 00.xlsx,Apache,3,2071366
Apache 2071366 FCM Rev 00.xlsx - 4,A132670,2019-07-26,36,0.0,79.43,3.97,0.0,0.0,0.0,0.53,83.4,177.45,6388.2,[],0.0,177.45,6388.2,Apache 2071366 FCM Rev 00.xlsx,Apache,4,2071366
Apache 2071366 FCM Rev 01 inc test fixture.xlsx - 1,R70815-1,2019-07-26,6,0.0,165.0,75.55,335.0,847.32,1346.0,0.28,2768.87,3843.1,23058.6,[],0.0,3843.1,23058.6,Apache 2071366 FCM Rev 01 inc test fixture.xlsx,Apache,1,2071366
Apache 2071366 FCM Rev 01 inc test fixture.xlsx - 2,R301126-1,2019-07-26,24,0.0,23.75,1.19,0.0,16.5,0.0,0.45,41.44,74.82,1795.68,[],0.0,74.82,1795.68,Apache 2071366 FCM Rev 01 inc test fixture.xlsx,Apache,2,2071366
Apache 2071366 FCM Rev 01 inc test fixture.xlsx - 3,132668,2019-07-26,36,0.0,32.0,1.6,0.0,22.22,0.0,0.45,55.82,100.8,3628.8,[],0.0,100.8,3628.8,Apache 2071366 FCM Rev 01 inc test fixture.xlsx,Apache,3,2071366
Apache 2071366 FCM Rev 01 inc test fixture.xlsx - 4,A132670,2019-07-26,36,0.0,79.43,3.97,0.0,39.12,0.0,0.31,122.52,177.45,6388.2,[],0.0,177.45,6388.2,Apache 2071366 FCM Rev 01 inc test fixture.xlsx,Apache,4,2071366
2081737 Rev 0.xlsx - 1,128167,2019-09-12,1,,712.19,750.0,150.0,,,0.53,1612.19,3405.47,3405.47,[],0.0,3405.47,3405.47,2081737 Rev 0.xlsx,Apache,1,2081737
2097633 Rev 0.xlsx - 1,A253522-1,2019-12-18,1,13029.0,,,,,,0.5,13029.0,26058.0,26058.0,[],0.0,26058.0,26058.0,2097633 Rev 0.xlsx,Apache,1,2097633
Apache 2125996 FCM Rev 00.xlsx - 1,320800,2019-11-29,6,0.0,168.95,33.79,8.45,0.0,0.0,0.5,211.19,422.38,2534.25,[],0.0,422.38,2534.25,Apache 2125996 FCM Rev 00.xlsx,Apache,1,2125996
Apache 2125996 FCM Rev 00.xlsx - 2,305255,2019-11-29,5,0.0,73.11,14.62,3.66,0.0,0.0,0.88,91.38,743.4,3717.0,[],0.0,743.4,3717.0,Apache 2125996 FCM Rev 00.xlsx,Apache,2,2125996
Apache 2128850 Eng 21st Ed  FCM Rev 01.xlsx - 1,TBE,2019-12-20,1,,21174.07,,,,,0.72,21174.07,76648.0,76648.0,[],0.0,76648.0,76648.0,Apache 2128850 Eng 21st Ed  FCM Rev 01.xlsx,Apache,1,2128850
Apache 2128850 Eng 20th Ed  FCM Rev 00.xlsx - 1,TBE,2019-12-05,1,,7995.8,,,,,0.72,7995.8,28944.0,28944.0,[],0.0,28944.0,28944.0,Apache 2128850 Eng 20th Ed  FCM Rev 00.xlsx,Apache,1,2128850
Apache 2132157 FCM Rev 00.xlsx - 1,A242801-1REF,1899-12-29,2,0.0,36191.44,2415.29,1268.16,700.0,4886.0,0.45,45460.9,82656.18,165312.36,[],0.0,82656.18,165312.36,Apache 2132157 FCM Rev 00.xlsx,Apache,1,2132157
2132261 Rev 0.xlsx - 1,359031,2019-12-11,1,,5171.41,,,,,0.53,5171.41,11002.99,11002.99,[],0.0,11002.99,11002.99,2132261 Rev 0.xlsx,Apache,1,2132261
2132261 Rev 0.xlsx - 2,348029,2019-12-11,1,,2036.12,,,,,0.45,2036.12,3700.49,3700.49,[],0.0,3700.49,3700.49,2132261 Rev 0.xlsx,Apache,2,2132261
2132261 Rev 0.xlsx - 3,348554,2019-12-11,1,,5997.08,,,,,0.51,5997.08,12238.94,12238.94,[],0.0,12238.94,12238.94,2132261 Rev 0.xlsx,Apache,3,2132261
1996626 Rev 01 Quote.xlsx - 1.1,C1060051-1,2019-03-26,15,,4341.52,,120.0,,,0.35,4461.52,6863.87,102958.05,[],0.0,6863.87,102958.05,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.1,1996626
1996626 Rev 01 Quote.xlsx - 1.2,NI8,2019-03-26,15,,11.02,,,,,0.4,11.02,18.36,275.4,[],0.0,18.36,275.4,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.2,1996626
1996626 Rev 01 Quote.xlsx - 1.3,C6000005-2,2019-03-26,15,,11.36,,,,,0.35,11.36,17.37,260.55,[],0.0,17.37,260.55,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.3,1996626
1996626 Rev 01 Quote.xlsx - 1.4,C6000005-3,2019-03-26,15,,22.12,,,,,0.35,22.12,33.82,507.3,[],0.0,33.82,507.3,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.4,1996626
1996626 Rev 01 Quote.xlsx - 1.5,233780,2019-03-26,15,,1.03,,,,,0.64,1.03,2.89,43.35,[],0.0,2.89,43.35,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.5,1996626
1996626 Rev 01 Quote.xlsx - 1.6,311153,2019-03-26,15,,390.72,,,,,0.35,390.72,601.11,9016.65,[],0.0,601.11,9016.65,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.6,1996626
1996626 Rev 01 Quote.xlsx - 1.7,338007,2019-03-26,15,,254.0,,,,,0.35,254.0,390.77,5861.55,[],0.0,390.77,5861.55,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.7,1996626
1996626 Rev 01 Quote.xlsx - 1.8,NVS-S,2019-03-26,15,,22.8,,,,,0.67,22.8,69.38,1040.7,[],0.0,69.38,1040.7,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.8,1996626
1996626 Rev 01 Quote.xlsx - 1.9,352806,2019-03-26,15,,38.47,,,,,0.5,38.47,76.95,1154.25,[],0.0,76.95,1154.25,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.9,1996626
1996626 Rev 01 Quote.xlsx - 1.1,H300220-21,2019-03-26,15,,20.27,,,,,0.81,20.27,106.96,1604.4,[],0.0,106.96,1604.4,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,1.1,1996626
1996626 Rev 01 Quote.xlsx - 2.1,C70339814-1,2019-03-26,15,,1811.92,,120.0,,,0.32,1931.92,2841.06,42615.9,[],0.0,2841.06,42615.9,1996626 Rev 01 Quote.xlsx,Bankers Petroleum,2.1,1996626
